
Fri Jun 09 20:05:14 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
4 x 2,20:05:14.362723300,20:05:15.922045300,1,Dogru,
1 x 5,20:05:15.922045300,20:05:17.189774400,1,Dogru,
3 x 3,20:05:17.189774400,20:05:18.533901700,2,Yanlis,
1 x 2,20:05:18.533901700,20:05:19.844652400,1,Dogru,
3 x 5,20:05:19.844652400,20:05:21.682214200,2,Dogru,

Fri Jun 09 20:05:14 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
5,7.0,4,1,


Fri Jun 09 20:07:58 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
2 x 1,20:07:58.353143300,20:08:00.065500200,1,Dogru,
8 x 4,20:08:00.065500200,20:08:02.015366100,2,Dogru,
2 x 6,20:08:02.015366100,20:08:03.568711200,2,Dogru,
4 x 3,20:08:03.568711200,20:08:05.135051300,1,Dogru,
5 x 3,20:08:05.135051300,20:08:06.613475500,2,Dogru,
3 x 4,20:08:06.613475500,20:08:07.768541100,1,Yanlis,
5 x 8,20:08:07.768541100,20:08:09.443136700,1,Dogru,
4 x 3,20:08:09.443136700,20:08:11.076785300,2,Dogru,

Fri Jun 09 20:07:58 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
8,12.0,7,1,


Fri Jun 09 20:14:49 TRT 2023,
Soru,Baslangic Zamani,Bitis Zamani, Saniye, Net,
1 x 3,20:14:49.706150400,20:14:51.494875,1,Dogru,
7 x 1,20:14:51.494875,20:14:52.778211300,2,Dogru,
7 x 7,20:14:52.778211300,20:14:54.457361300,1,Dogru,
2 x 3,20:14:54.457361300,20:14:55.649207800,1,Yanlis,
6 x 5,20:14:55.649207800,20:14:57.952038800,3,Yanlis,
4 x 6,20:14:57.952038800,20:14:59.933928,2,Dogru,
1 x 1,20:14:59.933928,20:15:02.480955,2,Dogru,
5 x 8,20:15:02.480955,20:15:04.297132200,2,Dogru,

Fri Jun 09 20:14:49 TRT 2023,
Soru Sayisi,Harcanan sure,Dogru Sayisi,Yanlis Sayisi,
8,14.0,6,2,


